parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,index,par_type,item
d,-1.439,0.047,-1.525,-1.351,0,0,24131,14245,1,9,item,G1631
d,0.568,0.025,0.522,0.616,0,0,30346,13110,1,15,item,G2063
d,-1.578,0.032,-1.636,-1.517,0,0,25525,14559,1,21,item,G410
d,-0.936,0.043,-1.018,-0.857,0,0,22300,14745,1,29,item,M5680
d,0.059,0.016,0.028,0.09,0,0,28684,14729,1,8,item,G1588
d,0.049,0.017,0.016,0.081,0,0,30908,14569,1,10,item,G1799
d,0.209,0.023,0.165,0.253,0,0,25347,15390,1,14,item,G2006
d,-0.349,0.023,-0.391,-0.307,0,0,33570,14435,1,24,item,G938
d,-2.395,0.019,-2.43,-2.359,0,0,31669,13160,1,7,item,G1472
d,-0.693,0.02,-0.73,-0.656,0,0,30157,14159,1,16,item,G2268
d,-0.145,0.014,-0.171,-0.119,0,0,31804,14300,1,18,item,G2346
d,-0.827,0.027,-0.878,-0.778,0,0,25243,14980,1,26,item,M3453
d,-0.658,0.024,-0.704,-0.613,0,0,25414,14769,1,11,item,G181
d,-0.374,0.038,-0.445,-0.303,0,0,23365,15407,1,17,item,G2341
d,-2.09,0.033,-2.151,-2.028,0,0,21840,14710,1,20,item,G2404
d,-0.407,0.021,-0.447,-0.368,0,0,33162,14933,1,27,item,M3924
d,-0.192,0.013,-0.217,-0.169,0,0,31121,14904,1,4,item,G1190
d,0.67,0.022,0.627,0.711,0,0,31124,13055,1,22,item,G584
d,-0.818,0.014,-0.845,-0.792,0,0,31109,13629,1,23,item,G794
d,-0.235,0.008,-0.249,-0.221,0,0,30243,13654,1,30,item,M5839
d,-0.977,0.041,-1.056,-0.903,0,0,33992,13798,1,34,item,M8907
nu,0.936,0.024,0.891,0.982,0,0,18071,15234,1,3,item,G1189
nu,1.428,0.043,1.348,1.511,0,0,19538,14345,1,13,item,G1948
nu,0.452,0.008,0.437,0.468,0,0,28077,13650,1,32,item,M7949
nu,4.282,0.159,3.98,4.574,0.001,0.001,32571,14200,1,12,item,G1920
nu,0.642,0.013,0.617,0.666,0,0,24559,15353,1,1,item,C1084
nu,0.822,0.017,0.791,0.854,0,0,30723,14348,1,2,item,C47
nu,0.77,0.018,0.737,0.804,0,0,20567,15117,1,5,item,G1210
nu,1.103,0.032,1.042,1.162,0,0,16961,15179,1,19,item,G2352
nu,0.936,0.025,0.889,0.983,0,0,16941,14746,1,25,item,M1571
nu,0.906,0.021,0.866,0.946,0,0,20473,14758,1,33,item,M811
nu,2.212,0.095,2.038,2.396,0.001,0.001,13148,14474,1,0,item,C1039
nu,0.554,0.012,0.532,0.576,0,0,21909,15336,1,9,item,G1631
nu,2.26,0.079,2.111,2.407,0.001,0.001,22100,15663,1,15,item,G2063
nu,1.741,0.061,1.628,1.857,0,0,17574,14319,1,21,item,G410
nu,0.718,0.017,0.687,0.751,0,0,19433,15559,1,29,item,M5680
nu,0.955,0.024,0.91,0.999,0,0,21537,15180,1,8,item,G1588
nu,1.211,0.031,1.154,1.269,0,0,25071,15502,1,10,item,G1799
nu,1.516,0.051,1.421,1.611,0,0,15703,14532,1,14,item,G2006
nu,0.726,0.015,0.698,0.755,0,0,25069,15978,1,24,item,G938
nu,1.038,0.028,0.986,1.089,0,0,21811,15566,1,7,item,G1472
nu,2.712,0.117,2.5,2.934,0.001,0.001,17512,15646,1,16,item,G2268
nu,1.511,0.051,1.414,1.604,0,0,18177,14622,1,18,item,G2346
nu,0.554,0.011,0.532,0.575,0,0,22731,14917,1,26,item,M3453
nu,2.262,0.081,2.115,2.417,0.001,0.001,21863,16068,1,11,item,G181
nu,0.482,0.009,0.465,0.499,0,0,27500,15225,1,17,item,G2341
nu,1.264,0.038,1.194,1.336,0,0,17761,15466,1,20,item,G2404
nu,1.192,0.033,1.132,1.254,0,0,21941,16348,1,27,item,M3924
nu,1.04,0.024,0.994,1.083,0,0,23178,15811,1,4,item,G1190
nu,3.667,0.199,3.297,4.041,0.002,0.001,14925,14929,1,22,item,G584
nu,0.936,0.02,0.898,0.973,0,0,24263,15575,1,23,item,G794
nu,0.637,0.012,0.615,0.659,0,0,25767,14564,1,30,item,M5839
nu,1.062,0.027,1.013,1.114,0,0,19147,14710,1,34,item,M8907
sigma,-0.288,0.034,-0.353,-0.226,0.001,0,964,3273,1.01,3,item,G1189
sigma,0.008,0.03,-0.047,0.068,0.001,0,760,2389,1.01,13,item,G1948
sigma,-1.774,0.037,-1.841,-1.701,0.001,0,795,2679,1.01,32,item,M7949
sigma,0.374,0.013,0.35,0.398,0,0,6846,11438,1,12,item,G1920
sigma,-0.404,0.032,-0.465,-0.345,0.001,0,1032,3704,1.01,1,item,C1084
sigma,0.06,0.022,0.02,0.103,0,0,1994,6340,1,2,item,C47
sigma,-1,0.035,-1.064,-0.934,0.001,0,945,3377,1.01,5,item,G1210
sigma,0.82,0.037,0.75,0.887,0.001,0,710,2457,1.01,19,item,G2352
sigma,0.125,0.037,0.058,0.196,0.001,0,837,3221,1.01,25,item,M1571
sigma,-0.056,0.031,-0.117,0,0.001,0,884,3144,1.01,33,item,M811
sigma,0.364,0.024,0.317,0.408,0.001,0,1917,7742,1,0,item,C1039
sigma,-0.007,0.044,-0.088,0.076,0.002,0.001,713,2557,1.01,9,item,G1631
sigma,1.275,0.021,1.237,1.316,0.001,0,1372,4597,1.01,15,item,G2063
sigma,-0.759,0.024,-0.804,-0.713,0.001,0,2034,6088,1,21,item,G410
sigma,0.188,0.035,0.123,0.254,0.001,0,1190,3959,1.01,29,item,M5680
sigma,0.6,0.041,0.522,0.674,0.002,0.001,572,1762,1.01,8,item,G1588
sigma,0.443,0.031,0.388,0.501,0.001,0,652,1985,1.01,10,item,G1799
sigma,1.016,0.034,0.954,1.082,0.001,0,695,2479,1.01,14,item,G2006
sigma,0.235,0.03,0.178,0.291,0.001,0,960,3600,1.01,24,item,G938
sigma,-1.86,0.035,-1.925,-1.796,0.001,0,738,2679,1.01,7,item,G1472
sigma,-0.1,0.026,-0.148,-0.051,0.001,0,743,2491,1.01,16,item,G2268
sigma,0.381,0.037,0.314,0.451,0.002,0.001,601,1919,1.01,18,item,G2346
sigma,-0.245,0.036,-0.313,-0.179,0.001,0,1147,3870,1.01,26,item,M3453
sigma,-0.048,0.021,-0.087,-0.008,0.001,0,1376,5331,1.01,11,item,G181
