parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,index,par_type,item
theta,0.914,0.168,0.598,1.233,0.002,0.001,9607,11616,1,484,person,
theta,1.075,0.157,0.785,1.377,0.002,0.001,8101,11368,1,224,person,
theta,-0.753,0.161,-1.057,-0.451,0.002,0.001,9368,11835,1,588,person,
theta,1.173,0.166,0.845,1.474,0.002,0.001,9732,12483,1,255,person,
theta,-0.652,0.172,-0.962,-0.314,0.001,0.001,14379,13848,1,827,person,
theta,1.252,0.154,0.954,1.537,0.002,0.001,8009,10998,1,954,person,
theta,0.552,0.171,0.235,0.875,0.002,0.001,11435,12821,1,641,person,
theta,1.226,0.164,0.92,1.534,0.002,0.001,8988,12645,1,147,person,
theta,1.13,0.17,0.81,1.451,0.002,0.001,12030,11333,1,258,person,
theta,1.147,0.158,0.848,1.442,0.002,0.001,8010,10027,1,43,person,
theta,-1.742,0.17,-2.055,-1.42,0.002,0.001,7053,12396,1,290,person,
theta,-0.07,0.167,-0.383,0.251,0.002,0.001,12237,12382,1,572,person,
theta,0.375,0.171,0.059,0.698,0.002,0.001,11858,12945,1,60,person,
theta,-0.702,0.188,-1.042,-0.34,0.002,0.001,12577,12446,1,421,person,
theta,0.437,0.167,0.127,0.754,0.002,0.001,12321,12158,1,365,person,
theta,0.742,0.167,0.438,1.063,0.002,0.001,12131,11754,1,257,person,
theta,0.527,0.155,0.228,0.81,0.001,0.001,10927,11430,1,1084,person,
theta,-0.066,0.17,-0.382,0.258,0.002,0.001,12912,13450,1,386,person,
theta,-2.489,0.157,-2.781,-2.191,0.003,0.001,3941,6250,1,177,person,
theta,0.392,0.166,0.08,0.705,0.001,0.001,14005,13001,1,839,person,
theta,0.746,0.164,0.439,1.054,0.002,0.001,10779,13439,1,446,person,
theta,0.748,0.154,0.46,1.033,0.002,0.001,8398,10699,1,312,person,
theta,0.178,0.174,-0.15,0.506,0.001,0.001,14279,12108,1,1021,person,
theta,0.057,0.155,-0.228,0.356,0.001,0.001,12292,13777,1,1114,person,
theta,-1.084,0.193,-1.447,-0.723,0.002,0.002,11416,11726,1,952,person,
theta,0.797,0.159,0.51,1.107,0.002,0.001,10445,12560,1,602,person,
theta,1.065,0.155,0.783,1.366,0.002,0.001,8167,11938,1,520,person,
theta,0.52,0.162,0.208,0.815,0.002,0.001,9169,13068,1,300,person,
theta,-0.566,0.154,-0.861,-0.283,0.002,0.001,8937,12001,1,92,person,
theta,-2.614,0.154,-2.895,-2.318,0.003,0.001,3261,7321,1,165,person,
theta,-0.37,0.168,-0.68,-0.05,0.002,0.001,11335,12800,1,9,person,
theta,0.783,0.153,0.501,1.075,0.002,0.001,8397,12091,1,507,person,
theta,-1.348,0.164,-1.651,-1.035,0.002,0.001,7952,11294,1,522,person,
theta,-0.315,0.187,-0.667,0.036,0.001,0.002,15819,12767,1,908,person,
theta,0.826,0.15,0.549,1.113,0.002,0.001,8392,11690,1,403,person,
theta,-2.797,0.163,-3.101,-2.49,0.003,0.001,3018,7841,1,58,person,
theta,0.72,0.161,0.415,1.022,0.002,0.001,8922,11527,1,343,person,
theta,0.223,0.17,-0.099,0.541,0.002,0.001,12355,13111,1,430,person,
theta,1.013,0.175,0.688,1.353,0.002,0.001,11019,11138,1,898,person,
theta,0.317,0.161,0.018,0.623,0.001,0.001,12875,12850,1,268,person,
theta,0.038,0.19,-0.309,0.402,0.002,0.002,13495,12663,1,560,person,
theta,1.055,0.177,0.71,1.378,0.002,0.001,11234,10943,1,558,person,
theta,0.518,0.177,0.172,0.84,0.001,0.001,14322,13718,1,1011,person,
theta,1.181,0.169,0.847,1.483,0.002,0.001,8958,11191,1,677,person,
theta,-1.136,0.163,-1.455,-0.844,0.002,0.001,8168,11526,1,112,person,
theta,-0.258,0.175,-0.576,0.083,0.001,0.001,14549,12959,1,305,person,
theta,1.088,0.153,0.802,1.375,0.002,0.001,8789,10685,1,877,person,
theta,1.622,0.173,1.303,1.951,0.002,0.002,8254,10368,1,517,person,
theta,-1.48,0.158,-1.772,-1.183,0.002,0.001,6615,11719,1,181,person,
theta,0.761,0.179,0.416,1.093,0.002,0.002,11246,11616,1,598,person,
theta,-0.295,0.172,-0.622,0.03,0.001,0.002,13965,11054,1,117,person,
theta,-0.903,0.166,-1.222,-0.6,0.002,0.001,10235,12116,1,41,person,
theta,0.82,0.155,0.531,1.113,0.002,0.001,8096,10833,1,652,person,
theta,0.634,0.166,0.33,0.956,0.002,0.001,11122,11187,1,1136,person,
theta,-0.078,0.17,-0.396,0.244,0.002,0.001,12397,12459,1,659,person,
theta,0.548,0.153,0.254,0.829,0.002,0.001,8670,11101,1,923,person,
theta,1.04,0.168,0.724,1.357,0.002,0.001,8680,12065,1,801,person,
theta,0.23,0.176,-0.104,0.559,0.002,0.001,13098,12000,1,456,person,
theta,1.092,0.163,0.779,1.39,0.002,0.001,9240,11513,1,689,person,
theta,0.443,0.162,0.124,0.736,0.002,0.001,10382,11694,1,875,person,
theta,0.869,0.155,0.581,1.164,0.002,0.001,9147,11931,1,748,person,
theta,0.961,0.162,0.658,1.265,0.002,0.001,9299,11545,1,179,person,
theta,0.05,0.156,-0.25,0.34,0.001,0.001,12795,11530,1,760,person,
theta,0.131,0.163,-0.174,0.438,0.001,0.001,12444,12215,1,715,person,
theta,-2.632,0.155,-2.919,-2.341,0.003,0.001,3191,7905,1,241,person,
theta,0.984,0.153,0.7,1.275,0.002,0.001,8195,10947,1,39,person,
theta,-2.36,0.172,-2.681,-2.035,0.003,0.001,4510,10178,1,374,person,
theta,0.361,0.179,0.023,0.698,0.002,0.001,13480,12316,1,401,person,
theta,-0.463,0.17,-0.771,-0.134,0.002,0.001,12589,11962,1,734,person,
theta,0.542,0.163,0.246,0.857,0.002,0.001,10993,12936,1,1122,person,
theta,-0.965,0.159,-1.269,-0.667,0.002,0.001,8858,12945,1,992,person,
theta,0.144,0.189,-0.215,0.495,0.002,0.002,14690,12940,1,976,person,
theta,0.994,0.156,0.698,1.285,0.002,0.001,8007,11385,1,144,person,
theta,-0.684,0.166,-0.999,-0.379,0.001,0.001,13210,13407,1,869,person,
theta,-0.235,0.173,-0.563,0.088,0.001,0.001,13710,13072,1,1147,person,
theta,0.603,0.164,0.29,0.906,0.002,0.001,10714,12369,1,1052,person,
theta,1.46,0.162,1.154,1.766,0.002,0.001,7653,10719,1,745,person,
theta,-1.101,0.175,-1.433,-0.775,0.002,0.001,10360,11268,1,626,person,
theta,0.893,0.161,0.59,1.189,0.002,0.001,9113,11982,1,1151,person,
theta,-0.817,0.156,-1.121,-0.535,0.002,0.001,8937,11455,1,586,person,
theta,0.921,0.15,0.643,1.205,0.002,0.001,9260,11241,1,632,person,
theta,-2.79,0.152,-3.08,-2.507,0.003,0.001,2455,7622,1,532,person,
theta,-0.316,0.16,-0.609,-0.009,0.002,0.001,9422,11059,1,608,person,
theta,0.43,0.176,0.096,0.758,0.002,0.002,12042,12170,1,939,person,
theta,0.539,0.174,0.227,0.876,0.002,0.001,13171,13383,1,751,person,
theta,0.696,0.161,0.396,0.996,0.002,0.001,10219,10859,1,786,person,
theta,-0.905,0.166,-1.2,-0.581,0.002,0.001,9114,12698,1,660,person,
theta,0.56,0.15,0.278,0.842,0.001,0.001,10166,12275,1,726,person,
theta,-2.712,0.166,-3.026,-2.408,0.003,0.001,3773,7530,1,90,person,
theta,-0.417,0.167,-0.737,-0.103,0.001,0.001,13933,11719,1,155,person,
theta,0.18,0.201,-0.2,0.561,0.002,0.002,17480,12154,1,543,person,
theta,-0.241,0.163,-0.556,0.062,0.001,0.001,13738,11921,1,317,person,
theta,0.066,0.182,-0.274,0.413,0.002,0.001,14299,13995,1,414,person,
theta,0.152,0.155,-0.139,0.437,0.002,0.001,9558,11677,1,974,person,
theta,0.149,0.158,-0.161,0.439,0.001,0.001,11297,12730,1,87,person,
theta,1.046,0.163,0.736,1.348,0.002,0.001,9339,11778,1,728,person,
theta,0.571,0.165,0.266,0.881,0.002,0.001,10719,12807,1,405,person,
theta,0.079,0.174,-0.236,0.41,0.001,0.002,15050,11864,1,407,person,
theta,0.674,0.156,0.374,0.961,0.002,0.001,9827,12720,1,539,person,
theta,-2.533,0.144,-2.806,-2.264,0.003,0.001,3013,7573,1,1055,person,
theta,0.026,0.174,-0.303,0.349,0.001,0.001,15033,12209,1,410,person,
theta,0.819,0.168,0.501,1.131,0.002,0.001,10914,12090,1,524,person,
theta,-0.212,0.179,-0.541,0.127,0.002,0.001,11741,12747,1,849,person,
theta,1.252,0.165,0.938,1.558,0.002,0.001,8803,11852,1,888,person,
theta,-0.496,0.181,-0.827,-0.151,0.001,0.001,14755,12769,1,478,person,
theta,0.343,0.184,-0.009,0.684,0.002,0.002,13307,11961,1,681,person,
theta,-0.555,0.179,-0.9,-0.231,0.002,0.002,12593,11588,1,925,person,
theta,-0.032,0.155,-0.322,0.259,0.001,0.001,12012,13189,1,1005,person,
theta,1.011,0.182,0.675,1.359,0.002,0.001,11756,11930,1,772,person,
theta,-1.232,0.179,-1.571,-0.896,0.002,0.002,10244,11541,1,686,person,
theta,-0.298,0.169,-0.62,0.017,0.002,0.001,11268,12577,1,27,person,
theta,0.224,0.168,-0.092,0.54,0.002,0.001,11642,13146,1,1092,person,
theta,0.889,0.155,0.599,1.18,0.002,0.001,9021,12034,1,1078,person,
theta,-0.984,0.177,-1.315,-0.653,0.002,0.001,10963,13097,1,640,person,
theta,-1.436,0.161,-1.749,-1.145,0.002,0.001,7701,12476,1,956,person,
theta,0.532,0.164,0.233,0.843,0.002,0.001,11191,11670,1,157,person,
theta,0.006,0.156,-0.287,0.304,0.002,0.001,9719,11084,1,457,person,
theta,0.965,0.167,0.663,1.291,0.002,0.001,8821,11212,1,851,person,
theta,1.034,0.154,0.75,1.327,0.002,0.001,7686,12177,1,891,person,
theta,-2.552,0.149,-2.838,-2.275,0.003,0.001,3114,7792,1,435,person,
theta,0.548,0.165,0.241,0.86,0.002,0.001,10882,12616,1,476,person,
theta,0.072,0.163,-0.239,0.38,0.002,0.001,11002,13133,1,474,person,
theta,0.858,0.155,0.575,1.156,0.002,0.001,8190,12706,1,554,person,
theta,0.425,0.162,0.12,0.731,0.002,0.001,11021,11972,1,1191,person,
theta,-0.832,0.166,-1.14,-0.527,0.002,0.001,9781,13427,1,42,person,
theta,0.989,0.156,0.693,1.277,0.002,0.001,10359,12212,1,80,person,
theta,1.349,0.162,1.045,1.652,0.002,0.001,7756,11158,1,162,person,
theta,-2.438,0.142,-2.705,-2.173,0.003,0.001,2824,8180,1,173,person,
theta,0.199,0.168,-0.111,0.52,0.001,0.001,14004,12645,1,848,person,
theta,-1.366,0.166,-1.673,-1.045,0.002,0.001,6848,12041,1,220,person,
theta,-2.065,0.165,-2.368,-1.746,0.002,0.001,4895,10838,1,483,person,
theta,-2.589,0.153,-2.868,-2.297,0.003,0.001,3140,7166,1,690,person,
theta,-0.568,0.17,-0.875,-0.235,0.002,0.002,10439,10650,1,163,person,
theta,0.846,0.164,0.536,1.15,0.002,0.001,10644,11404,1,619,person,
theta,0.629,0.17,0.3,0.932,0.002,0.001,12200,12708,1,61,person,
theta,0.533,0.156,0.243,0.825,0.002,0.001,10580,12696,1,730,person,
theta,1.281,0.168,0.975,1.601,0.002,0.001,8325,12160,1,71,person,
theta,0.959,0.163,0.652,1.263,0.002,0.001,8967,12856,1,766,person,
theta,-1.706,0.164,-2.025,-1.408,0.002,0.001,5404,10631,1,8,person,
theta,-1.819,0.164,-2.127,-1.512,0.002,0.001,6130,11543,1,834,person,
theta,0.436,0.164,0.136,0.753,0.002,0.001,10287,12059,1,892,person,
theta,0.748,0.186,0.406,1.102,0.002,0.002,15190,12770,1,416,person,
theta,0.245,0.154,-0.039,0.538,0.001,0.001,11259,12175,1,924,person,
theta,1.57,0.164,1.259,1.875,0.002,0.001,7407,10149,1,344,person,
theta,0.883,0.179,0.554,1.224,0.002,0.002,11366,11562,1,989,person,
theta,0.661,0.177,0.337,1.001,0.002,0.001,12047,12368,1,574,person,
theta,0.99,0.176,0.668,1.33,0.002,0.001,10441,12062,1,903,person,
theta,0.263,0.175,-0.065,0.595,0.001,0.001,13634,13190,1,295,person,
theta,0.665,0.162,0.362,0.964,0.001,0.001,11630,12481,1,634,person,
theta,-0.008,0.164,-0.317,0.294,0.001,0.001,12561,11526,1,807,person,
theta,0.281,0.173,-0.039,0.605,0.002,0.001,12326,12244,1,1103,person,
theta,0.783,0.167,0.461,1.093,0.002,0.001,9836,11690,1,566,person,
theta,-1.153,0.164,-1.46,-0.844,0.002,0.001,8247,11697,1,194,person,
theta,-1.362,0.157,-1.656,-1.066,0.002,0.001,6826,12054,1,531,person,
theta,0.527,0.168,0.201,0.83,0.002,0.002,12463,12226,1,217,person,
theta,0.326,0.15,0.057,0.617,0.002,0.001,9701,12724,1,828,person,
theta,0.976,0.16,0.682,1.283,0.002,0.001,8782,11107,1,1056,person,
theta,-2.141,0.156,-2.426,-1.84,0.002,0.001,4632,10104,1,570,person,
theta,0.581,0.183,0.231,0.923,0.002,0.002,11926,11710,1,1074,person,
theta,0.107,0.161,-0.206,0.402,0.001,0.001,14101,11866,1,449,person,
theta,0.623,0.165,0.31,0.936,0.002,0.001,11376,11952,1,310,person,
theta,0.674,0.158,0.372,0.962,0.002,0.001,8586,12518,1,159,person,
theta,0.499,0.161,0.201,0.803,0.002,0.001,10413,11614,1,54,person,
theta,0.719,0.165,0.418,1.036,0.002,0.001,9562,12207,1,614,person,
theta,-2.532,0.146,-2.808,-2.258,0.003,0.001,3340,7654,1,990,person,
theta,0.086,0.169,-0.235,0.399,0.002,0.001,11900,12882,1,746,person,
theta,-0.287,0.157,-0.581,0.009,0.001,0.001,11393,13172,1,512,person,
theta,0.712,0.174,0.378,1.038,0.002,0.001,11984,12163,1,400,person,
theta,-0.341,0.171,-0.673,-0.028,0.001,0.001,16128,11860,1,212,person,
theta,-0.553,0.167,-0.864,-0.236,0.002,0.001,11692,11623,1,251,person,
theta,-0.892,0.153,-1.2,-0.622,0.002,0.001,7902,11492,1,350,person,
theta,0.249,0.157,-0.048,0.542,0.002,0.001,10436,12185,1,709,person,
theta,-0.197,0.189,-0.545,0.164,0.001,0.002,16282,12743,1,675,person,
theta,-0.788,0.159,-1.082,-0.486,0.002,0.001,10231,12126,1,927,person,
theta,-0.631,0.166,-0.93,-0.313,0.001,0.001,12841,12451,1,262,person,
theta,1.275,0.162,0.97,1.58,0.002,0.001,7576,11162,1,271,person,
theta,-1.084,0.191,-1.435,-0.717,0.002,0.002,9888,12969,1,164,person,
theta,0.693,0.162,0.385,0.993,0.002,0.001,8880,10455,1,914,person,
theta,0.293,0.223,-0.126,0.716,0.002,0.002,19593,13049,1,550,person,
theta,-0.093,0.151,-0.375,0.195,0.001,0.001,11555,11348,1,285,person,
theta,1.07,0.149,0.775,1.338,0.002,0.001,7009,10147,1,292,person,
theta,-0.964,0.193,-1.335,-0.605,0.002,0.002,12662,13233,1,1173,person,
theta,1.05,0.172,0.725,1.371,0.002,0.001,10896,11782,1,233,person,
theta,0.024,0.188,-0.32,0.382,0.002,0.002,14394,13142,1,535,person,
theta,0.73,0.162,0.43,1.043,0.002,0.001,11064,12034,1,206,person,
theta,-0.574,0.172,-0.894,-0.252,0.002,0.001,12362,11607,1,379,person,
theta,-0.945,0.177,-1.277,-0.617,0.002,0.001,11036,11187,1,1032,person,
theta,-0.735,0.194,-1.089,-0.357,0.002,0.002,12743,12565,1,1137,person,
theta,0.498,0.167,0.179,0.815,0.001,0.001,13437,12721,1,1017,person,
theta,0.05,0.163,-0.261,0.346,0.002,0.001,10823,12116,1,331,person,
theta,0.684,0.158,0.391,0.989,0.002,0.001,9329,11346,1,1053,person,
theta,1.013,0.164,0.702,1.322,0.002,0.001,11848,12630,1,200,person,
theta,-0.439,0.169,-0.754,-0.119,0.002,0.001,10506,11051,1,668,person,
theta,0.666,0.159,0.36,0.956,0.002,0.001,10060,11781,1,790,person,
theta,-0.456,0.17,-0.77,-0.132,0.002,0.001,11779,12332,1,170,person,
theta,1.123,0.164,0.814,1.425,0.002,0.001,8256,11089,1,693,person,
theta,-2.061,0.162,-2.371,-1.76,0.002,0.001,4940,9968,1,11,person,
theta,0.481,0.176,0.151,0.811,0.002,0.002,13009,11619,1,1167,person,
theta,1.013,0.146,0.744,1.29,0.002,0.001,7141,10989,1,497,person,
theta,1.023,0.155,0.731,1.316,0.002,0.001,8692,10185,1,26,person,
theta,-0.648,0.16,-0.947,-0.35,0.002,0.001,10435,11556,1,739,person,
theta,1.102,0.155,0.812,1.392,0.002,0.001,7669,11648,1,281,person,
theta,0.178,0.156,-0.113,0.472,0.002,0.001,9620,9765,1,998,person,
theta,0.654,0.158,0.368,0.957,0.002,0.001,10528,12144,1,886,person,
theta,-0.695,0.176,-1.017,-0.354,0.002,0.001,11060,12121,1,197,person,
theta,0.481,0.149,0.2,0.76,0.001,0.001,10132,12424,1,1082,person,
theta,0.591,0.165,0.286,0.906,0.002,0.001,11287,11052,1,494,person,
theta,-0.685,0.161,-0.982,-0.376,0.002,0.001,10451,12133,1,1026,person,
theta,0.813,0.163,0.511,1.124,0.002,0.001,11211,11178,1,1019,person,
theta,-0.5,0.199,-0.867,-0.118,0.002,0.002,16831,12730,1,1142,person,
theta,0.411,0.164,0.102,0.719,0.002,0.001,11336,12496,1,321,person,
theta,-0.235,0.18,-0.576,0.103,0.001,0.001,16840,13213,1,328,person,
theta,0.496,0.169,0.18,0.817,0.002,0.001,10648,12966,1,182,person,
theta,0.732,0.175,0.387,1.045,0.002,0.001,11497,12822,1,831,person,
theta,-0.924,0.164,-1.231,-0.617,0.002,0.001,8592,11007,1,865,person,
theta,-0.288,0.163,-0.594,0.018,0.001,0.001,13105,12009,1,486,person,
theta,-1.493,0.209,-1.879,-1.094,0.002,0.002,13334,12730,1,803,person,
theta,0.527,0.159,0.227,0.825,0.002,0.001,10304,11568,1,23,person,
theta,0.102,0.157,-0.191,0.397,0.002,0.001,10714,12297,1,360,person,
theta,-0.285,0.164,-0.596,0.016,0.002,0.001,10929,11700,1,368,person,
theta,0.626,0.168,0.307,0.942,0.002,0.001,11643,12767,1,1063,person,
theta,0.627,0.166,0.319,0.939,0.002,0.001,10813,10971,1,644,person,
theta,0.91,0.161,0.618,1.223,0.002,0.001,10125,11774,1,1033,person,
theta,-2.552,0.15,-2.833,-2.268,0.003,0.001,3196,8724,1,201,person,
theta,0.426,0.15,0.14,0.709,0.002,0.001,9038,11153,1,1172,person,
theta,0.88,0.164,0.572,1.185,0.002,0.001,9095,12216,1,116,person,
theta,0.214,0.157,-0.072,0.52,0.001,0.001,12220,12620,1,785,person,
theta,0.033,0.158,-0.269,0.329,0.001,0.001,13115,13331,1,288,person,
theta,-0.493,0.167,-0.795,-0.166,0.001,0.001,13946,12364,1,307,person,
theta,-1.436,0.171,-1.752,-1.104,0.002,0.001,8722,10734,1,256,person,
theta,-0.296,0.175,-0.617,0.043,0.001,0.001,13951,12095,1,806,person,
theta,-2.669,0.178,-3.013,-2.343,0.003,0.001,4117,8638,1,740,person,
theta,-0.163,0.19,-0.511,0.203,0.002,0.002,15592,13149,1,946,person,
theta,0.876,0.164,0.574,1.186,0.002,0.001,10390,12294,1,1150,person,
theta,-1.395,0.176,-1.723,-1.063,0.002,0.002,7233,11081,1,595,person,
theta,-1.339,0.178,-1.67,-1.002,0.002,0.001,9161,11878,1,207,person,
theta,0.384,0.169,0.056,0.689,0.002,0.001,12399,12540,1,584,person,
theta,0.779,0.171,0.443,1.091,0.002,0.001,10838,11942,1,540,person,
theta,-2.329,0.161,-2.626,-2.026,0.003,0.001,3865,8024,1,518,person,
theta,0.262,0.156,-0.023,0.563,0.002,0.001,10814,11880,1,88,person,
theta,0.974,0.161,0.672,1.273,0.002,0.001,9196,12074,1,791,person,
theta,0.131,0.174,-0.198,0.456,0.002,0.001,12691,12637,1,819,person,
theta,0.459,0.161,0.155,0.76,0.002,0.001,10658,11886,1,704,person,
theta,-0.618,0.19,-0.978,-0.271,0.002,0.002,13058,12044,1,178,person,
theta,0.131,0.17,-0.178,0.46,0.001,0.001,12904,12477,1,21,person,
theta,0.153,0.185,-0.2,0.501,0.001,0.002,16012,12721,1,627,person,
theta,0.558,0.156,0.27,0.853,0.002,0.001,9497,11314,1,126,person,
theta,-1.321,0.179,-1.661,-0.988,0.002,0.002,10110,10789,1,578,person,
theta,0.743,0.158,0.447,1.039,0.002,0.001,9465,10765,1,782,person,
theta,0.271,0.158,-0.023,0.568,0.002,0.001,10864,11015,1,349,person,
theta,0.27,0.172,-0.059,0.587,0.002,0.001,12717,12986,1,1164,person,
theta,0.042,0.192,-0.321,0.4,0.002,0.002,15732,12229,1,477,person,
theta,0.053,0.16,-0.251,0.352,0.002,0.001,11091,11631,1,931,person,
theta,0.38,0.178,0.061,0.723,0.002,0.002,12274,11853,1,341,person,
theta,-1.448,0.18,-1.794,-1.109,0.002,0.002,8318,9326,1,874,person,
theta,-1.125,0.156,-1.422,-0.834,0.002,0.001,6367,11199,1,22,person,
theta,-0.375,0.175,-0.719,-0.061,0.002,0.001,11805,12648,1,576,person,
theta,0.812,0.157,0.525,1.115,0.002,0.001,9441,11908,1,1018,person,
theta,-1.069,0.202,-1.454,-0.695,0.002,0.002,12112,12049,1,439,person,
theta,-1.07,0.195,-1.444,-0.711,0.002,0.002,13483,12287,1,489,person,
theta,-2.098,0.166,-2.412,-1.793,0.002,0.001,5197,9183,1,1065,person,
theta,0.602,0.17,0.278,0.915,0.002,0.001,11220,12317,1,541,person,
theta,-1.306,0.182,-1.667,-0.981,0.002,0.002,11405,10748,1,651,person,
theta,1.037,0.167,0.727,1.35,0.002,0.001,9894,10609,1,237,person,
theta,-0.503,0.152,-0.793,-0.222,0.001,0.001,10230,13208,1,575,person,
theta,1.008,0.171,0.683,1.324,0.002,0.001,11050,12665,1,606,person,
theta,-1.012,0.151,-1.296,-0.726,0.002,0.001,7094,11748,1,585,person,
theta,0.722,0.162,0.415,1.019,0.002,0.001,10554,11969,1,154,person,
theta,-1.329,0.197,-1.698,-0.954,0.002,0.002,11424,11893,1,988,person,
theta,-1.125,0.187,-1.475,-0.776,0.002,0.002,11173,11753,1,423,person,
theta,-0.518,0.157,-0.818,-0.224,0.002,0.001,9839,12470,1,711,person,
theta,1.167,0.164,0.86,1.472,0.002,0.001,8896,11747,1,872,person,
theta,0.094,0.165,-0.221,0.393,0.002,0.001,11503,12167,1,5,person,
theta,0.94,0.155,0.659,1.242,0.002,0.001,9277,11841,1,1029,person,
theta,0.001,0.16,-0.29,0.311,0.001,0.001,11733,12051,1,647,person,
theta,-0.592,0.166,-0.904,-0.284,0.002,0.001,11600,12440,1,629,person,
theta,0.437,0.166,0.127,0.747,0.002,0.001,10798,10982,1,70,person,
theta,-0.195,0.169,-0.514,0.121,0.002,0.001,12189,12539,1,398,person,
theta,-0.763,0.159,-1.069,-0.468,0.002,0.001,10317,12520,1,227,person,
theta,-1.747,0.161,-2.049,-1.444,0.002,0.001,6159,10646,1,419,person,
theta,0.349,0.178,0.017,0.687,0.001,0.001,16464,12589,1,654,person,
theta,-1.047,0.162,-1.353,-0.741,0.002,0.001,9731,10979,1,406,person,
theta,0.524,0.162,0.221,0.827,0.002,0.001,10148,12499,1,850,person,
theta,-2.48,0.155,-2.768,-2.185,0.003,0.001,3345,6983,1,314,person,
theta,0.526,0.169,0.205,0.84,0.002,0.001,10724,10877,1,135,person,
theta,-0.961,0.181,-1.29,-0.611,0.002,0.002,10461,12509,1,339,person,
theta,-1.962,0.159,-2.269,-1.67,0.002,0.001,4695,10379,1,411,person,
theta,0.587,0.182,0.238,0.924,0.001,0.002,16870,12200,1,1129,person,
theta,0.711,0.17,0.393,1.031,0.002,0.001,11979,12415,1,798,person,
theta,-2.745,0.149,-3.017,-2.455,0.003,0.001,3076,7878,1,180,person,
theta,0.385,0.177,0.042,0.71,0.001,0.002,14505,12210,1,706,person,
theta,0.614,0.158,0.315,0.909,0.002,0.001,10562,11008,1,46,person,
theta,-0.408,0.167,-0.734,-0.105,0.001,0.001,12569,12125,1,556,person,
theta,0.933,0.158,0.64,1.229,0.002,0.001,9371,12103,1,513,person,
theta,1.021,0.165,0.713,1.339,0.002,0.001,9589,10988,1,684,person,
theta,0.124,0.157,-0.166,0.419,0.002,0.001,9628,11722,1,1107,person,
theta,-0.65,0.167,-0.962,-0.337,0.002,0.001,11621,12071,1,830,person,
theta,-2.473,0.149,-2.756,-2.195,0.003,0.001,2907,7934,1,75,person,
theta,-0.245,0.155,-0.537,0.045,0.001,0.001,11488,10473,1,770,person,
theta,-0.344,0.173,-0.668,-0.017,0.002,0.001,12019,12742,1,755,person,
theta,-1.462,0.168,-1.769,-1.136,0.002,0.001,7724,11329,1,187,person,
theta,-0.768,0.185,-1.109,-0.414,0.002,0.002,13392,12114,1,1080,person,
theta,0.706,0.154,0.418,0.996,0.002,0.001,10000,11781,1,915,person,
theta,-0.304,0.166,-0.615,0.009,0.002,0.001,12155,13276,1,462,person,
theta,-0.616,0.162,-0.918,-0.316,0.002,0.001,10240,13904,1,620,person,
theta,1.091,0.169,0.771,1.405,0.002,0.001,10828,11999,1,1022,person,
theta,0.93,0.159,0.642,1.235,0.002,0.001,10835,11744,1,246,person,
theta,0.769,0.159,0.477,1.067,0.002,0.001,8554,12376,1,569,person,
theta,0,0.16,-0.294,0.311,0.001,0.001,13371,12264,1,247,person,
theta,0.42,0.173,0.088,0.744,0.001,0.002,13674,12321,1,29,person,
theta,-0.965,0.184,-1.316,-0.627,0.002,0.002,10679,11817,1,424,person,
theta,-2.471,0.143,-2.736,-2.197,0.003,0.001,2964,8568,1,811,person,
theta,-1.649,0.191,-2.002,-1.288,0.002,0.002,9432,9722,1,534,person,
theta,0.454,0.155,0.168,0.752,0.001,0.001,10730,11498,1,1132,person,
theta,-0.956,0.166,-1.264,-0.638,0.002,0.001,10357,11353,1,980,person,
theta,0.658,0.165,0.362,0.98,0.002,0.001,10795,12596,1,332,person,
theta,-0.72,0.175,-1.049,-0.395,0.002,0.001,11438,13067,1,918,person,
theta,0.652,0.171,0.328,0.966,0.002,0.001,11375,11437,1,19,person,
theta,1.113,0.158,0.819,1.414,0.002,0.001,8088,12254,1,17,person,
theta,0.922,0.15,0.632,1.195,0.002,0.001,8382,12706,1,1105,person,
theta,0.883,0.155,0.591,1.177,0.002,0.001,9518,10445,1,1101,person,
theta,-1.869,0.15,-2.163,-1.602,0.002,0.001,4708,9128,1,166,person,
theta,-0.135,0.168,-0.438,0.192,0.002,0.001,12380,12652,1,646,person,
theta,-0.031,0.179,-0.364,0.311,0.002,0.002,11573,12602,1,564,person,
theta,1.11,0.146,0.826,1.374,0.002,0.001,7683,11599,1,810,person,
theta,0.696,0.164,0.388,0.999,0.002,0.001,10894,13167,1,942,person,
theta,0.63,0.163,0.324,0.935,0.001,0.001,12050,11003,1,228,person,
theta,0.858,0.162,0.553,1.157,0.002,0.001,9805,12761,1,93,person,
theta,0.727,0.157,0.42,1.012,0.002,0.001,8833,12364,1,1004,person,
theta,0.159,0.164,-0.158,0.46,0.002,0.001,10887,12244,1,752,person,
theta,-0.068,0.168,-0.393,0.241,0.002,0.001,12267,12681,1,749,person,
theta,0.996,0.177,0.671,1.331,0.002,0.001,10370,11151,1,89,person,
theta,0.5,0.168,0.181,0.813,0.002,0.001,10254,12127,1,440,person,
theta,1.295,0.155,0.997,1.579,0.002,0.001,8290,11149,1,753,person,
theta,0.292,0.165,-0.018,0.609,0.002,0.001,11426,11816,1,623,person,
theta,-2.148,0.171,-2.468,-1.828,0.002,0.002,5410,10486,1,922,person,
